OBSR_NO.,DAY,Location,No. Empl,Customer Sat,Application Used,Loan/Lease,Approved/Dis,Amount,Approval Time,Wait for Info,Wait - Discrete,Cycle Time,Log10 Cycle Time,Cycle Time - Discrete
1,1,New York,6,5,2,Lease,Approved,31,4,0,No,8,0.90309,Pass
2,1,Sydney,11,5,2,Lease,Approved,52,5,0,No,9,0.95424,Fail
3,1,New York,15,5,3,Loan,Disapproved,43,4,0,No,7,0.8451,Pass
4,1,Sydney,5,5,1,Lease,Approved,64,10,4,Yes,20,1.30103,Fail
5,1,New York,11,5,1,Loan,Approved,35,4,0,No,8,0.90309,Pass
6,1,Sydney,7,4,1,Lease,Approved,49,7,2,Yes,13,1.11394,Fail
7,1,Paris,8,5,1,Lease,Approved,38,2,0,No,4,0.60206,Pass
8,1,Sydney,8,3,2,Lease,Approved,30,6,3,Yes,11,1.04139,Fail
9,1,Sydney,9,3,1,Loan,Approved,26,8,6,Yes,15,1.17609,Fail
10,1,New York,9,5,2,Lease,Approved,25,7,5,Yes,13,1.11394,Fail
11,1,Paris,15,3,1,Lease,Disapproved,51,5,0,No,9,0.95424,Fail
12,1,Sydney,9,5,1,Lease,Approved,62,7,3,Yes,14,1.14613,Fail
13,1,Paris,5,4,1,Loan,Approved,23,4,1,Yes,6,0.77815,Pass
14,1,Sydney,8,4,1,Lease,Approved,44,8,6,Yes,15,1.17609,Fail
15,1,New York,9,5,2,Loan,Approved,75,5,2,Yes,10,1,Fail
16,1,New York,11,5,2,Lease,Approved,39,6,3,Yes,11,1.04139,Fail
17,1,New York,9,3,1,Loan,Approved,58,4,0,No,6,0.77815,Pass
18,1,New York,17,3,1,Lease,Disapproved,40,5,0,No,10,1,Fail
19,1,Paris,8,5,2,Lease,Approved,46,3,1,Yes,5,0.69897,Pass
20,1,New York,5,2,2,Lease,Approved,35,7,2,Yes,13,1.11394,Fail
21,1,Sydney,3,4,1,Lease,Approved,31,7,2,Yes,13,1.11394,Fail
22,1,New York,8,4,3,Lease,Approved,32,7,3,Yes,14,1.14613,Fail
23,1,New York,2,3,1,Lease,Approved,63,6,1,Yes,11,1.04139,Fail
24,1,Sydney,6,4,3,Loan,Approved,64,7,2,Yes,13,1.11394,Fail
25,1,Sydney,8,4,2,Lease,Approved,65,11,4,Yes,21,1.32222,Fail
26,1,Paris,16,4,3,Loan,Disapproved,49,3,1,Yes,5,0.69897,Pass
27,1,New York,7,4,3,Lease,Approved,68,5,0,No,9,0.95424,Fail
28,1,New York,6,5,3,Lease,Approved,57,4,1,Yes,6,0.77815,Pass
